Temp_Min,Temp_Max,RH_Min,RH_Max,Wind_Speed,Rainfall,No_of_rainy_days,Sunshine_Hrs,Inc_Per
21.63,36.51,13.02,37.39,7.43,0.00,0.00,10.04,0.15
21.26,36.70,10.70,35.86,7.49,0.00,0.00,10.07,0.20
23.06,37.17,14.65,40.19,8.53,0.00,0.00,9.74,0.17
22.47,37.08,9.13,32.97,8.40,0.00,0.00,10.36,0.14
21.58,34.43,19.21,62.30,8.32,4.20,1.00,8.82,0.19
23.64,37.51,23.14,70.71,8.45,9.20,1.00,8.89,0.16
24.25,37.28,23.36,70.98,10.01,18.80,1.00,9.89,0.25
24.50,39.02,16.96,69.25,0.55,0.00,0.00,8.82,0.17
23.06,38.06,19.16,71.85,7.30,0.00,0.00,10.11,0.19
25.40,38.66,17.11,64.08,4.10,27.80,3.00,8.68,0.15
24.77,38.70,21.00,64.23,4.22,0.00,0.00,9.07,0.12
25.23,37.63,27.70,76.80,5.15,0.00,0.00,8.46,15.37
24.12,34.59,43.18,91.11,3.95,0.00,0.00,7.54,22.34
23.45,32.76,49.22,91.61,9.38,0.00,0.00,6.39,18.91
23.51,33.49,42.58,84.92,8.10,2.40,1.00,5.89,18.33
23.40,33.16,44.25,87.52,6.27,6.20,2.00,6.39,22.87
23.54,33.48,43.28,84.60,6.61,2.00,3.00,7.21,19.36
22.29,30.39,58.41,98.47,9.58,26.90,2.00,5.21,21.37
22.30,30.24,59.18,95.46,10.67,27.90,3.00,3.94,25.52
23.06,30.95,55.80,90.24,6.06,33.50,4.00,3.18,24.19
22.53,30.61,60.72,99.04,2.80,8.80,2.00,4.43,11.70
22.57,30.02,60.86,96.63,3.12,8.60,4.00,3.64,8.19
22.56,30.95,54.82,93.50,5.31,18.40,2.00,4.82,4.80
22.62,31.81,53.44,95.89,1.82,10.20,1.00,5.29,4.60
22.20,27.81,74.43,100.00,2.45,16.75,2.25,2.93,5.36
22.54,28.67,69.20,98.02,2.95,27.90,2.00,3.71,1.45
21.51,30.90,54.04,98.18,4.75,32.80,3.00,7.97,3.17
21.90,30.70,56.53,96.94,2.09,20.30,3.00,5.64,3.99
20.82,31.31,45.86,94.67,1.92,12.30,4.00,5.49,4.68
22.75,31.57,45.81,89.81,0.26,1.20,1.00,5.99,5.75
22.15,31.73,46.19,89.92,0.80,1.00,6.00,4.59,2.44
